Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating,Driving_Duration_hrs,Average_Speed_kmh,Acceleration_Pattern,Braking_Pattern,Route_Type,Time_of_Day,Weather_Conditions,Vehicle_Load,Driving_Style,Safety_Features_Usage,Traffic_Violations,Reliability_Rating,Recalls,Service_History,Electronics_Quality,Manufacturer_Reputation_Score,Engine_Quality_Score,Transmission_Quality_Score,Electronics_Quality_Score,Avg_Engine_RPM
2024,Acura,Integra A-SPEC,Full-size,1.5,4,AV,Gasoline,8.1,6.5,7.4,38,172,6,7,10,55,Moderate,Normal,Urban,Morning,Clear,Heavy load,Aggressive,Cruise control,5,7,0,Minimal maintenance,Good,10,8,11,7,2296
2024,Acura,Integra A-SPEC,Full-size,1.5,4,M,Gasoline,8.9,6.5,7.8,36,181,6,6,7,107,Aggressive,Hard,Highway,Night,Snowy,Full load,Moderate,ABS,0,11,3,Major repairs,Average,8,9,9,6,1507
2024,Acura,Integra Type S,Full-size,2,4,M,Gasoline,11.1,8.3,9.9,29,230,5,6,5,118,Conservative,Hard,Urban,Night,Rainy,Heavy load,Conservative,Cruise control,0,7,3,Regular servicing,Good,10,6,10,9,3746
2024,Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS,Gasoline,12.6,9.4,11.2,25,263,4,5,6,86,Aggressive,Hard,Rural,Morning,Cloudy,Moderate load,Conservative,Cruise control,0,6,3,Very often,Excellent,8,7,7,10,2473
2024,Acura,MDX SH-AWD Type S,Sport utility vehicle: Standard,3,6,AS,Gasoline,13.8,11.2,12.4,23,291,4,5,4,136,Aggressive,Normal,Mixed,Evening,Snowy,Light load,Aggressive,Seat belts,1,8,1,Major repairs,Average,8,8,11,10,1962
2024,Acura,RDX SH-AWD,Sport utility vehicle: Small,2,4,AS,Gasoline,11,8.6,9.9,29,232,5,6,1,133,Conservative,Hard,Rural,Afternoon,Cloudy,Full load,Conservative,Seat belts,4,6,0,Very often,Average,9,10,11,9,2049
2024,Acura,RDX SH-AWD A-SPEC,Sport utility vehicle: Small,2,4,AS,Gasoline,11.3,9.1,10.3,27,241,5,6,4,78,Moderate,Normal,Urban,Night,Clear,Light load,Moderate,Seat belts,4,9,1,Minimal maintenance,Good,7,8,9,8,2906
2024,Alfa Romeo,Giulia,Mid-size,2,4,A,Gasoline,10,7.2,8.7,32,205,5,5,9,147,Conservative,Normal,Urban,Night,Clear,Moderate load,Moderate,Cruise control,3,8,3,Minimal maintenance,Average,7,7,6,8,2959
2024,Alfa Romeo,Giulia AWD,Mid-size,2,4,A,Gasoline,10.5,7.7,9.2,31,217,5,5,8,102,Moderate,Normal,Highway,Morning,Rainy,Moderate load,Aggressive,Seat belts,3,7,3,Very often,Very Good,8,8,8,8,1624
2024,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A,Gasoline,13.5,9.3,11.6,24,271,4,3,3,71,Moderate,Hard,Highway,Afternoon,Snowy,Full load,Moderate,Cruise control,0,6,0,Very often,Average,6,7,7,10,2261
2024,Alfa Romeo,Stelvio,Sport utility vehicle: Small,2,4,A,Gasoline,10.3,8.1,9.3,30,218,5,5,4,90,Aggressive,Gentle,Mixed,Evening,Rainy,Full load,Conservative,Cruise control,2,11,3,Major repairs,Excellent,8,6,9,8,4551
2024,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2,4,A,Gasoline,10.8,8.3,9.6,29,226,5,5,5,71,Moderate,Gentle,Highway,Evening,Cloudy,Light load,Aggressive,Seat belts,1,8,2,Major repairs,Average,9,9,7,10,3597
2024,Alfa Romeo,Stelvio AWD Quadrifoglio,Sport utility vehicle: Small,2.9,6,A,Gasoline,13.9,10.3,12.3,23,288,4,3,6,65,Conservative,Hard,Rural,Night,Cloudy,Heavy load,Moderate,Airbags,5,11,0,Very often,Average,8,6,6,11,3222
2024,Alfa Romeo,Tonale AWD,Sport utility vehicle: Small,2,4,A,CNG,11.2,8.2,9.8,29,231,5,7,5,90,Conservative,Hard,Urban,Night,Clear,Full load,Aggressive,Airbags,3,9,1,Regular servicing,Good,9,9,9,6,2977
2024,Aston Martin,DB12,Minicompact,4,8,A,Gasoline,15.9,10.5,13.5,21,316,3,5,9,112,Conservative,Normal,Urban,Morning,Rainy,Moderate load,Conservative,Airbags,5,8,1,Regular servicing,Very Good,6,7,11,8,2097
2024,Aston Martin,DBS V12,Minicompact,5.2,12,A,Gasoline,16.4,10.7,13.8,20,324,3,3,10,56,Moderate,Normal,Rural,Night,Snowy,Heavy load,Conservative,Seat belts,0,5,2,Very often,Excellent,6,11,7,9,3285
2024,Aston Martin,DBX V8,Sport utility vehicle: Standard,4,8,A,Gasoline,16.8,11.9,14.6,19,343,3,5,10,82,Moderate,Gentle,Highway,Afternoon,Rainy,Light load,Moderate,ABS,2,10,0,Minimal maintenance,Average,7,9,10,10,3809
2024,Aston Martin,DBX707,Sport utility vehicle: Standard,4,8,A,Gasoline,15.7,12,14,20,329,3,5,10,74,Conservative,Normal,Mixed,Afternoon,Rainy,Heavy load,Moderate,Airbags,1,8,1,Minimal maintenance,Very Good,9,6,9,6,2566
2024,Aston Martin,Valour,Two-seater,5.2,12,M,Gasoline,18.9,13.1,16.3,17,383,2,3,9,78,Aggressive,Gentle,Highway,Evening,Clear,Heavy load,Moderate,Airbags,3,5,0,Regular servicing,Very Good,10,9,8,11,3281
